-826.716423000209, 482.20157600008, -32.7825539999176, -88.8109209998511, -755.19085000013, -486.373902000021, 
-840.425490999827, 485.777854999993, -21.4576719999313, -85.8306879999582, -755.190849999897, -484.585761999944, 
-813.007354999892, 479.221342999954, -23.8418580000289, -79.2741769999266, -756.978988000192, -485.777854999993, 
-808.23898299993, 474.452971999999, -20.2655790001154, -83.4465030001011, -754.594803000102, -487.565994000062, 
-812.411308000097, 496.506691000191, -14.3051139998715, -83.4465020000935, -752.806663000025, -486.373901000014, 
-805.258751000045, 477.433204999892, -36.3588330000639, -82.2544100000523, -758.171081000008, -483.989715999924, 
-812.411308999872, 483.989714999916, -32.782555000158, -87.0227810000069, -757.575034999987, -483.393669000128, 
-825.524329999927, 487.56599399983, -33.3786010001786, -86.4267350002192, -756.382942000171, -485.777854999993, 
-825.52433000016, 473.856925999979, -30.9944150000811, -82.2544100000523, -756.978988999967, -488.758086999878, 
-824.92828400014, 476.837157999864, -20.8616260001436, -81.6583629997913, -756.978988999967, -487.56599399983, 
-804.662705000024, 475.645064999815, -29.8023220000323, -84.638595999917, -757.575034999987, -485.777853999985, 
-830.292702000123, 483.989716000156, -20.2655790001154, -81.6583630000241, -757.575034999987, -488.162041000091, 
-833.272934000008, 478.625297999941, -44.1074370001443, -84.638595999917, -757.575034999987, -483.393669000128, 
-826.716422999976, 483.989716000156, -29.8023230000399, -88.8109200000763, -755.19084899989, -486.969947000034, 
-826.716422999976, 453.591346000088, -27.4181369999424, -84.6385949999094, -754.594802999869, -484.585762000177, 
-835.657120000105, 475.645065000048, -25.0339510000777, -84.0425500001293, -753.998757000081, -485.181808999972, 
-824.332237999886, 480.41343700001, -27.4181369999424, -83.4465029998682, -752.210617000004, -483.393668999895, 
-805.258750999812, 476.837158000097, -29.8023230000399, -81.6583630000241, -758.171082000015, -481.605530000059, 
-835.657119999873, 479.817389999982, -22.0537179999519, -85.8306879999582, -755.190849999897, -484.585761999944, 
-802.874564999947, 472.66483299993, -26.8220899999142, -82.8504560000729, -756.382942000171, -485.777853999985, 
-827.908515999792, 482.797622999875, -32.1865080001298, -70.9295280000661, -735.521316000028, -458.955765000079, 
-845.193862000015, 482.797623000108, -25.6299969998654, -70.9295280000661, -735.521315999795, -457.76367200003, 
-846.982002000092, 483.393668999895, -23.8418580000289, -73.9097599999513, -734.329222999979, -459.551811000099, 
-863.075256999815, 477.433204999892, -29.8023230000399, -75.1018530000001, -733.733177000191, -461.339949999936, 
-852.346420000074, 481.009483000031, -29.2062760000117, -71.5255740000866, -734.925270000007, -455.379485999933, 
-833.868981000036, 486.373901000014, -22.0537189999595, -73.9097599999513, -735.521316000028, -454.783439000137, 
-853.538513000123, 480.41343700001, -32.186507999897, -69.7374340000097, -738.50154899992, -457.763671999797, 
-835.657118999865, 474.452973000007, -29.8023220000323, -75.1018519999925, -733.137130999938, -458.359718000051, 
-857.114791000029, 479.221343999961, -37.5509259998798, -69.7374340000097, -735.521316000028, -452.995300999843, 
-854.134558999911, 479.81739099999, -29.8023230000399, -70.3334799997974, -734.329222999979, -460.743903999915, 
-838.637351999991, 481.009483000031, -32.1865080001298, -76.2939449998084, -737.309456000105, -457.167625000002, 
-843.405723999953, 478.625297999941, -7.74860400008038, -68.5453419999685, -736.713408999844, -457.167626000009, 
-858.306884999853, 479.81739099999, -30.3983690000605, -75.1018530000001, -734.925270000007, -454.783439000137, 
-848.174095999915, 474.452973000007, -34.5706939999945, -70.9295270000584, -738.50154899992, -458.359718000051, 
-853.538513000123, 484.585761999944, -25.6299970000982, -71.5255740000866, -732.541083999909, -457.763671999797, 
-862.479209000012, 479.81739099999, -28.6102299999911, -75.1018519999925, -736.117363000056, -455.379486000165, 
-852.94246699987, 481.009483000031, -36.3588340000715, -72.1216199998744, -734.925270000007, -456.571578999981, 
-832.080840999959, 491.142272999976, -20.2655799998902, -76.2939450000413, -734.329222999979, -455.975531999953, 
-844.001769999973, 478.029251000145, -32.7825549999252, -72.7176669999026, -733.733177000191, -452.995300000068, 
-833.272934000008, 486.969947999809, -33.3786009999458, -69.7374340000097, -734.329222999979, -455.975532000186, 
-856.518745000008, 466.704368999926, -36.9548790000845, -56.6244120001793, -707.507134000072, -429.153442000039, 
-858.306885000085, 466.704367999919, -38.7430189999286, -64.9690629998222, -697.374344000127, -422.000884999987, 
-884.532927999971, 458.359718000051, -48.8758090001065, -67.3532489999197, -706.911086999811, -417.828560000053, 
-866.651534999954, 466.108322000131, -42.3192980000749, -59.008598000044, -708.699226999888, -427.36530299997, 
-846.982003000099, 471.472740000114, -48.2797619998455, -71.5255740000866, -710.48736499995, -425.577163000125, 
-878.572463999968, 455.975532999961, -40.531157999998, -57.8165049999952, -709.295272999909, -420.808792000171, 
-848.17409500014, 476.837159000104, -77.48603800009, -69.1413879999891, -709.295273000142, -422.000884999987, 
-874.996186000062, 459.551810999867, -35.7627870000433, -60.2006909998599, -712.871551000047, -428.557396000018, 
-869.631767000072, 466.108322000131, -49.4718549998943, -67.9492949999403, -708.699226000113, -426.173210999928, 
-856.518745000008, 476.837157999864, -35.1667400000151, -65.5651099998504, -715.851783000166, -420.808791999938, 
-863.07525600004, 473.26087899995, -39.9351119999774, -63.7769700000063, -705.718995000003, -435.709953000071, 
-876.784324999899, 477.433205000125, -29.2062760000117, -62.5848769999575, -714.063644999871, -419.020653000101, 
-850.558281000005, 472.66483299993, -32.7825539999176, -63.1809229999781, -720.024108999874, -425.577163000125, 
-866.651534999954, 479.221343999961, -38.1469730001409, -60.796738000121, -709.295271999901, -422.596931000007, 
